"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"OM Metals Infraprojects Limited","96303809","69031905","    71.68","27271904","0","     0.00","     0.00","23-Nov-2020 11:30:28","3815510","96259049","3.96"
"Oberoi Realty Limited","363602237","246174946","    67.70","117427291","0","     0.00","     0.00","23-Nov-2020 11:30:28","940176","363602229","0.26"
"Oil & Natural Gas Corporation Limited","12580279206","7599608458","    60.41","4980670748","0","     0.00","     0.00","23-Nov-2020 11:30:10","44931727","12575559925","0.36"
"Oil Country Tubular Limited","44289530","21799431","    49.22","22490099","14489000","    66.47","    32.71","23-Nov-2020 11:30:09","15422872","42882918","35.97"
"Oil India Limited","1084405194","614376660","    56.66","470028534","0","     0.00","     0.00","23-Nov-2020 11:30:26","5770190","1081198680","0.53"
"Olectra Greentech Limited","82080737","50323229","    61.31","31757508","1347015","     2.68","     1.64","23-Nov-2020 11:30:18","2334846","82007859","2.85"
"Omax Autos Limited","21388213","12137935","    56.75","9250278","0","     0.00","     0.00","23-Nov-2020 11:30:19","223447","21080043","1.06"
"Omaxe Limited","182900540","135606918","    74.14","47293622","90115405","    66.45","    49.27","23-Nov-2020 11:30:24","91260753","182899871","49.9"
"Omkar Speciality Chemicals Limited","20578004","5682827","    27.62","14895177","4372317","    76.94","    21.25","23-Nov-2020 11:30:28","2731669","20577994","13.27"
"OnMobile Global Limited","103448321","50923703","    49.23","52524618","0","     0.00","     0.00","23-Nov-2020 11:30:25","4821074","103432493","4.66"
"Onelife Capital Advisors Limited","13360000","9960000","    74.55","3400000","0","     0.00","     0.00","23-Nov-2020 11:30:29","206683","13359998","1.55"
"Onward Technologies Limited","16213970","10027281","    61.84","6186689","0","     0.00","     0.00","23-Nov-2020 11:30:12","424763","16106041","2.64"
"Optiemus Infracom Limited","85814191","64300541","    74.93","21513650","21820000","    33.93","    25.43","23-Nov-2020 11:30:31","27635628","84838158","32.57"
"Opto Circuits (India) Limited","300625744","55673317","    18.52","244952427","0","     0.00","     0.00","23-Nov-2020 11:30:19","7229688","299874169","2.41"
"Oracle Financial Services Software Limited","85991471","63051197","    73.32","22940274","0","     0.00","     0.00","23-Nov-2020 11:30:19","403733","85779933","0.47"
"Orbit Exports Limited","27383065","18039723","    65.88","9343342","0","     0.00","     0.00","23-Nov-2020 11:30:30","2553360","27003674","9.46"
"Orchid Pharma Limited","88964327","26100470","    29.34","62863857","22863503","    87.60","    25.70","23-Nov-2020 11:30:11","0","50","0"
"Oricon Enterprises Limited","157047715","104149709","    66.32","52898006","0","     0.00","     0.00","23-Nov-2020 11:30:31","2415339","156525284","1.54"
"Orient Abrasives Limited","119639200","76066129","    63.58","43573071","0","     0.00","     0.00","23-Nov-2020 11:30:21","1515143","118301285","1.28"
"Orient Bell Limited","14339576","9052273","    63.13","5287303","0","     0.00","     0.00","23-Nov-2020 11:30:23","226390","14091005","1.61"
"Orient Cement Limited","204868760","76549922","    37.37","128318838","14845000","    19.39","     7.25","23-Nov-2020 11:30:30","17962494","203784275","8.81"
"Orient Electric Limited","212185502","81733294","    38.52","130452208","10450000","    12.79","     4.92","23-Nov-2020 11:30:32","13688209","211053731","6.49"
"Orient Green Power Company Limited","750723977","365812640","    48.73","384911337","365426114","    99.89","    48.68","23-Nov-2020 11:30:28","385387092","750721108","51.34"
"Orient Paper & Industries Limited","212185502","82193294","    38.74","129992208","0","     0.00","     0.00","23-Nov-2020 11:30:04","7446852","211416611","3.52"
"Orient Press Limited","10000000","7304999","    73.05","2695001","0","     0.00","     0.00","23-Nov-2020 11:30:27","534257","9959185","5.36"
"Orient Refractories Limited","120139200","79877771","    66.49","40261429","0","     0.00","     0.00","23-Nov-2020 11:30:29","1124252","118842751","0.95"
"Oriental Hotels Limited","178599180","121286679","    67.91","57312501","307820","     0.25","     0.17","23-Nov-2020 11:30:13","984305","175384808","0.56"
"Oriental Trimex Limited","28515208","8008206","    28.08","20507002","0","     0.00","     0.00","23-Nov-2020 11:30:23","1312574","28514200","4.6"
"Oswal Agro Mills Limited","134234776","56033948","    41.74","78200828","0","     0.00","     0.00","23-Nov-2020 11:30:11","687554","110383767","0.62"
"Oswal Chemicals & Fertilizers Limited","256809159","165196835","    64.33","91612324","0","     0.00","     0.00","23-Nov-2020 11:30:12","2753626","236623534","1.16"
"PAE Limited","10419600","5820352","    55.86","4599248","0","     0.00","     0.00","23-Nov-2020 11:30:03","49405","9799454","0.5"
"PBA Infrastructure Limited","13500562","7384255","    54.70","6116307","4762065","    64.49","    35.27","23-Nov-2020 11:30:21","4880077","13500556","36.15"
"PC Jeweller Limited","395073896","183470096","    46.44","211603800","0","     0.00","     0.00","23-Nov-2020 11:30:30","16348140","395072960","4.14"
"PDS Multinational Fashions Limited","26046724","17359886","    66.65","8686838","0","     0.00","     0.00","23-Nov-2020 11:30:30","1688438","25878847","6.52"
"PG Electroplast Limited","19528916","13577681","    69.53","5951235","0","     0.00","     0.00","23-Nov-2020 11:30:29","1942807","19528915","9.95"
"PI Industries Limited","151713435","71041337","    46.83","80672098","0","     0.00","     0.00","23-Nov-2020 11:30:28","1032993","151601389","0.68"
"PIL ITALICA LIFESTYLE LIMITED","235000000","155373400","    66.12","79626600","0","     0.00","     0.00","23-Nov-2020 11:30:30","4230131","233706400","1.81"
"PNB GILTS LTD.","180010134","133333333","    74.07","46676801","0","     0.00","     0.00","23-Nov-2020 11:30:18","5103506","179602096","2.84"
"PNC Infratech Limited","256539165","143841000","    56.07","112698165","0","     0.00","     0.00","23-Nov-2020 11:30:31","3843830","256539160","1.5"
"PPAP Automotive Limited","14000000","9032397","    64.52","4967603","0","     0.00","     0.00","23-Nov-2020 11:30:25","431175","13774860","3.13"
"PSL Limited","124934484","46105016","    36.90","78829468","20982710","    45.51","    16.79","23-Nov-2020 11:30:12","22597890","124846278","18.1"
"PTC India Financial Services Limited","642283335","417450001","    64.99","224833334","0","     0.00","     0.00","23-Nov-2020 11:30:28","18279573","642252806","2.85"
"PTC India Limited","296008321","48000000","    16.22","248008321","0","     0.00","     0.00","23-Nov-2020 11:30:19","13856198","286003622","4.84"
"PTL Enterprises Limited","66188500","46215399","    69.82","19973101","0","     0.00","     0.00","23-Nov-2020 11:30:23","179368","65707457","0.27"
"PVP Ventures Limited","245052701","140990766","    57.53","104061935","1000000","     0.71","     0.41","23-Nov-2020 11:30:15","2051161","244765682","0.84"
"PVR Limited","55173017","10368261","    18.79","44804756","0","     0.00","     0.00","23-Nov-2020 11:30:21","644401","55172765","1.17"
"Page Industries Limited","11153874","5389092","    48.32","5764782","0","     0.00","     0.00","23-Nov-2020 11:30:23","52145","11153871","0.47"
"Paisalo Digital Limited","42292199","28560572","    67.53","13731627","0","     0.00","     0.00","23-Nov-2020 11:30:29","388236","42288193","0.92"
"Palash Securities Limited","10003102","6558643","    65.57","3444459","0","     0.00","     0.00","23-Nov-2020 11:30:31","288679","9939641","2.9"
"Panacea Biotec Limited","61250746","45074866","    73.59","16175880","31262112","    69.36","    51.04","23-Nov-2020 11:30:15","32137910","61032495","52.66"
"Panama Petrochem Limited","60493598","47124856","    77.90","13368742","0","     0.00","     0.00","23-Nov-2020 11:30:29","784541","59892133","1.31"
"Parabolic Drugs Limited","61892014","23389727","    37.79","38502287","22619927","    96.71","    36.55","23-Nov-2020 11:30:27","23403713","59677780","39.22"
"Parag Milk Foods Limited","84114582","39037450","    46.41","45077132","4943000","    12.66","     5.88","23-Nov-2020 11:30:31","6143358","84114574","7.3"
"Paramount Communications Limited","184133965","110631944","    60.08","73502021","39674457","    35.86","    21.55","23-Nov-2020 11:30:23","41508203","183013709","22.68"
"Paras Petrofils Limited","334221000","131342366","    39.30","202878634","0","     0.00","     0.00","23-Nov-2020 11:30:15","1068962","164510645","0.65"
"Parenteral Drugs (India) Limited","29816300","21849243","    73.28","7967057","21849243","   100.00","    73.28","23-Nov-2020 11:30:27","20809115","29386589","70.81"
"Parsvnath Developers Limited","435181170","299312557","    68.78","135868613","194812037","    65.09","    44.77","23-Nov-2020 11:30:23","221565951","435141775","50.92"
"Patel Engineering Limited","430016462","274925824","    63.93","155090638","230563639","    83.86","    53.62","23-Nov-2020 11:30:20","235866940","429567194","54.91"
"Patel Integrated Logistics Limited","16535923","5984908","    36.19","10551015","0","     0.00","     0.00","23-Nov-2020 11:30:25","389632","16037067","2.43"
"Patspin India Limited","30920000","20096918","    65.00","10823082","7286405","    36.26","    23.57","23-Nov-2020 11:30:13","7571924","29949507","25.28"
"Pearl Global Industries Limited","21663937","14424909","    66.58","7239028","0","     0.00","     0.00","23-Nov-2020 11:30:23","531453","21523688","2.47"
"Pearl Polymers Limited","16834932","9360490","    55.60","7474442","0","     0.00","     0.00","23-Nov-2020 11:30:15","115550","16072234","0.72"
"Peninsula Land Limited","279201220","159033427","    56.96","120167793","41838396","    26.31","    14.99","23-Nov-2020 11:30:02","48086029","276129734","17.41"
"Pennar Industries Limited","142162231","53586278","    37.69","88575953","1500000","     2.80","     1.06","23-Nov-2020 11:30:28","5210911","141438428","3.68"
"Persistent Systems Limited","76425000","26096244","    34.15","50328756","0","     0.00","     0.00","23-Nov-2020 11:30:27","520750","76057791","0.68"
"Petron Engineering Construction Limited","7538400","5463203","    72.47","2075197","0","     0.00","     0.00","23-Nov-2020 11:30:15","26937","7481748","0.36"
"Petronet LNG Limited","1500000088","750000000","    50.00","750000088","0","     0.00","     0.00","23-Nov-2020 11:30:19","6060830","1499748351","0.4"
"Pfizer Limited","45747732","29243042","    63.92","16504690","0","     0.00","     0.00","23-Nov-2020 11:30:07","556376","45175769","1.23"
"Phillips Carbon Black Limited","172337860","92307785","    53.56","80030075","0","     0.00","     0.00","23-Nov-2020 11:30:11","5791252","170410139","3.4"
"Pidilite Industries Limited","508131980","356652681","    70.19","151479299","0","     0.00","     0.00","23-Nov-2020 11:30:11","3326772","506770234","0.66"
"Pioneer Distilleries Limited","13388200","10041150","    75.00","3347050","0","     0.00","     0.00","23-Nov-2020 11:30:27","281415","13156507","2.14"
"Pioneer Embroideries Limited","24947942","6463559","    25.91","18484383","5300000","    82.00","    21.24","23-Nov-2020 11:30:22","7316636","24598495","29.74"
"Piramal Enterprises Limited","225538356","105585746","    46.81","119952610","0","     0.00","     0.00","23-Nov-2020 11:30:04","2765955","223026359","1.24"
"Pitti Engineering Limited","32050067","19000627","    59.28","13049440","3889060","    20.47","    12.13","23-Nov-2020 11:30:23","4690774","31782577","14.76"
"Plastiblends India Limited","25989200","16589346","    63.83","9399854","0","     0.00","     0.00","23-Nov-2020 11:30:23","167570","24780368","0.68"
"Pochiraju Industries Limited","18906675","6322264","    33.44","12584411","0","     0.00","     0.00","23-Nov-2020 11:30:23","222675","17935052","1.24"
"Poly Medicure Limited","88246980","43028552","    48.76","45218428","0","     0.00","     0.00","23-Nov-2020 11:30:29","4740579","87946504","5.39"
"Polyplex Corporation Limited","31392462","16001534","    50.97","15390928","0","     0.00","     0.00","23-Nov-2020 11:30:11","1388315","31111985","4.46"
"Ponni Sugars (Erode) Limited","8598418","3642537","    42.36","4955881","0","     0.00","     0.00","23-Nov-2020 11:30:18","796826","8182919","9.74"
"Power Finance Corporation Limited","2640081408","1478291778","    55.99","1161789630","0","     0.00","     0.00","23-Nov-2020 11:30:23","28680807","2640050101","1.09"
"Power Grid Corporation of India Limited","5231589648","2685872408","    51.34","2545717240","0","     0.00","     0.00","23-Nov-2020 11:30:25","6873293","5231559349","0.13"
"Prabhat Dairy Limited","97676131","48935584","    50.10","48740547","1125000","     2.30","     1.15","23-Nov-2020 11:30:31","1933495","97676128","1.98"
"Pradip Overseas Limited","48440183","25792519","    53.25","22647664","25666319","    99.51","    52.99","23-Nov-2020 11:30:27","25752528","48439743","53.16"
"Praj Industries Limited","183167660","60300000","    32.92","122867660","0","     0.00","     0.00","23-Nov-2020 11:30:13","10096891","182969300","5.52"
"Prajay Engineers Syndicate Limited","69935791","22988018","    32.87","46947773","0","     0.00","     0.00","23-Nov-2020 11:30:23","1286139","69454207","1.85"
"Prakash Industries Limited","171581839","72133668","    42.04","99448171","39598353","    54.90","    23.08","23-Nov-2020 11:30:14","66141761","170238935","38.85"
"Prakash Pipes Limited","20418354","7961358","    38.99","12456996","3132545","    39.35","    15.34","23-Nov-2020 11:30:32","6385922","20244143","31.54"
"Prakash Steelage Limited","175000390","84323573","    48.18","90676817","19060000","    22.60","    10.89","23-Nov-2020 11:30:28","20445073","174999250","11.68"
"Pratibha Industries Limited","238597348","37469448","    15.70","201127900","22758621","    60.74","     9.54","23-Nov-2020 11:30:22","24336874","238597068","10.2"
"Praxis Home Retail Limited","27633208","17061605","    61.74","10571603","0","     0.00","     0.00","23-Nov-2020 11:30:32","167858","27584588","0.61"
"Precision Wires India Limited","23127246","13799566","    59.67","9327680","0","     0.00","     0.00","23-Nov-2020 11:30:12","275334","22608004","1.22"
"Precot Meridian Limited","12000000","7365765","    61.38","4634235","6120000","    83.09","    51.00","23-Nov-2020 11:30:09","98260","11576383","0.85"
"Premier Limited","30372570","8352202","    27.50","22020368","0","     0.00","     0.00","23-Nov-2020 11:30:11","658159","28808736","2.28"
"Premier Polyfilm Limited","20948495","10015647","    47.81","10932848","0","     0.00","     0.00","23-Nov-2020 11:30:03","20657","19558751","0.11"
"Pressman Advertising Limited","23482843","11080581","    47.19","12402262","0","     0.00","     0.00","23-Nov-2020 11:30:20","764287","21159947","3.61"
"Prestige Estates Projects Limited","400861654","262500000","    65.48","138361654","0","     0.00","     0.00","23-Nov-2020 11:30:28","2230093","400861638","0.56"
"Prime Focus Limited","299248978","104607641","    34.96","194641337","13843185","    13.23","     4.63","23-Nov-2020 11:30:22","51436828","299248958","17.19"
"Prime Securities Limited","26515325","0","     0.00","26515325","0",,"     0.00","23-Nov-2020 11:30:21","5225751","25236761","20.71"
"Prism Johnson Limited","503356580","376881169","    74.87","126475411","0","     0.00","     0.00","23-Nov-2020 11:30:11","4675373","500845807","0.93"
"Pritish Nandy Communications Limited","14467000","7218425","    49.90","7248575","0","     0.00","     0.00","23-Nov-2020 11:30:18","251739","14462770","1.74"
